h2,ch4,c2h6,c2h4,c2h2,act
80,28,4,15,107,1
19,12,2,8,63,1
152,116,7,131,414,1
25,9,6,5,44,1
57,148,197,72,42,1
156,55,103,13,16,1
85,49,4,50,399,1
392,153,82,45,236,1
48,20,69,41,31,1
88,21.8,79.2,41.2,41.5,1
50,42,98,10,33,1
43,19,3,0.001,40,1
59,20,120,5.5,8.9,1
292,346,32,313,196,1
0.001,21,0.001,0.001,40,1
26.6,4,0.001,8,50,1
10,15,0.001,0.001,35,1
41,16,19,58,106,1
37,11.8,15.5,43.6,83.3,1
14.3,92.6,83.9,16.7,26.8,1
123,50.7,9,62,65.9,1
2,41,133,9,21,1
26,68,93,31,59,1
77,36,27,18,76,1
46,21,1,11,93,1
25,28,27,15,80,1
243,127,20,122,588,1
88,45,57,15,39,1
61,21,2,26,89,1
151,51,16,12,19,1
75,5,31,69,36,1
71,151,9,89,412,1
87,34,23,15,60,1
114,41,27,15,42,1
60,85,5,67,227,1
46,20,14,10,42,1
22,14,19,6,56,1
70,4,91,0.001,34,1
65.4,20.2,70,39,40.2,1
155,49,69.3,42,10.7,1
88.5,22.8,108.4,12,7.5,1
0.001,0.001,10,5,35,1
34,0.001,0.001,0.001,44,1
12.4,6.5,15.3,69,15,1
215,84.8,87.7,1002,212,1
17,42,192,12,20,1
4,88,213,14,35,1
42,124,1,8,0.001,4
36,167,230,18,0.001,4
10,56,72,70,0.001,4
9,38,93,8,0.001,4
36,21,65,2,0.001,4
161,38,210,13,0.001,4
38,38,296,14,0.001,4
13,59,117,44,0.001,4
10,44,106,28,0.001,4
15,7,92,5,0.001,4
85,98,315,30,0.001,4
74,173,263,33,0.001,4
122,161,271,35,0.001,4
69,174,267,15,0.001,4
113,137,173,34,0.001,4
111,67,105,9,0.001,4
18,30,146,8,0.001,4
21,14,191,90,0.001,4
31.2,8.9,119,4.4,0.001,4
34,8.6,70.3,3.1,0.001,4
10,24,80,5,0.001,4
0.001,43,146,9,0.001,4
0.001,215,555,18.4,0.001,4
0.001,153,395,11.7,0.001,4
0.001,187,609,13,0.001,4
320,131,187,127,0.001,4
13.2,18.7,97.4,79.5,4.7,4
16.4,45.5,68.7,3.8,0.001,4
0.001,116,70,0.001,0.001,4
24,109,69,0.001,0.001,4
0.001,33.7,136,11.4,0.001,4
54.9,8.8,80,2.5,0.001,4
93.5,131.9,39,11.7,0.001,4
16,68,124,15,0.001,4
11,46,155,18,0.001,4
16,68,157,19,0.001,4
29,71,158,20,0.001,4
19,48,76,18,0.001,4
8,16,88,7,0.001,4
10,26,147,6,0.001,4
9,56,135,7,1,4
45,125,111,25,0.001,4
16,105,224,15,0.001,4
10,63,176,35,0.001,4
6,38,93,32,0.001,4
12,28,102,3,0.001,4
27,28,136,8,0.001,4
27,49,192,9,0.001,4
24,47,113,10,0.001,4
43,28,72,9,0.001,4
25,29,137,8,0.001,4
19,62,95,5,0.001,4
157,46,76,12,0.001,4
115,129,316,36,0.001,4
112,68,136,9,0.001,4
11,271,465,32,0.001,4
121,73,179,11,0.001,4
128,35,213,17,0.001,4
16,80,134,10,0.001,4
92,27,67,7,0.001,4
17,21,118,0.001,4,4
36,94,78,13,2,4
6,197,476.9,16.9,0.001,4
24.7,20.4,117,71,6.8,4
820,1740,951,867,128,4
74,100,85,17,0.001,4
39.4,65.2,103.9,8.1,0.001,4
74.8,30.1,82.3,13.6,0.001,4
79,40,264,10,0.001,4
5,14,234,5,0.001,4
15,139,160,343,0.001,5
0.001,6,52,67,0.001,5
26,398,85,319,0.001,5
50,274,95,320,6.3,5
31,63,246,714,7,5
2,5,81,172,0.001,5
3,5,90,185,3,5
16,98,35,64,0.001,5
2,123,7,18,0.001,5
185,302,27,33,0.001,5
14,15,42,73,0.001,5
62,425,276,651,26,5
88.7,460.8,94.9,184.6,18.3,5
119,670,286,934,19,5
109,102,28,91,0.001,5
0.001,4.9,81,172,0.001,5
24,78,266,779,7,5
24,80,258,741,6,5
18,35,2,110,0.001,2
10,4,1,87,0.001,2
8,1,0.001,60,0.001,2
24,20,4,87,0.001,2
21,42,4,92,0.001,2
35,29,7,78,0.001,2
8,88,45,252,0.001,2
0.001,28,64,408,6,2
0.001,100,309,1365,7,2
0.001,106,170,871,6,2
86,480,155,644,9,2
121,450,146,898,116,2
0.001,3.4,0.001,54,0.001,2
11,13,2,127,0.001,2
4,2,1,63,0.001,2
20,26,6,55,0.001,2
34,174,52,361,0.001,2
7,31,23,148,0.001,2
0.001,0.001,0.001,142,0.001,2
89,281,145,1216,22,2
0.001,10,17,68,5,2
39,525,538,2925,16,2
9,47,144,628,0.001,2
53,189,25,295,5,2
12,270,0.001,275,0.001,2
0.001,153,130,677,13,2
27,51,0.001,153,0.001,2
0.001,0.001,9,57,0.001,2
32930,2397,157,0.001,0.001,6
37800,1740,249,8,8,6
8266,1061,22,0.001,0.001,6
9340,995,60,6,7,6
36036,4704,554,5,10,6
33046,619,58,2,0.001,6
40280,1069,1060,1,1,6
26788,18342,2111,27,0.001,6
92600,10200,0.001,0.001,0.001,6
78,20,11,13,28,3
305,100,33,161,541,3
35,6,3,26,482,3
543,120,41,411,1880,3
1230,163,27,233,692,3
645,86,13,110,317,3
60,10,4,4,4,3
95,10,0.001,11,39,3
6870,1028,79,900,5500,3
10092,5399,530,6500,37565,3
650,81,170,51,270,3
210,22,6,6,7,3
385,60,8,53,159,3
4230,690,5,196,1180,3
595,80,9,89,244,3
120,25,1,8,40,3
6454,2313,121,2159,6432,3
2177,1049,207,440,705,3
1790,580,321,336,619,3
1330,10,20,66,182,3
4,1,2,7,52,3
1900,285,31,957,7730,3
57,24,2,27,30,3
1000,500,1,400,500,3
440,89,19,304,757,1
210,43,12,102,187,1
2850,1115,138,1987,3675,1
7020,1850,0.001,2960,4410,1
545,130,16,153,239,1
7150,1440,97,1210,1760,1
620,325,38,181,244,1
120,31,0.001,66,94,1
755,229,32,404,460,1
5100,1430,0.001,1140,1010,1
13500,6110,212,4510,4040,1
1570,1110,175,1780,1830,1
3090,5020,323,3800,2540,1
1820,405,35,365,634,1
535,160,16,305,680,1
13,3,1,3,6,1
137,67,7,53,104,1
1084,188,8,166,769,1
34,21,4,49,56,1
7940,2000,355,3120,5390,1
150,130,9,55,30,1
8200,3790,250,4620,5830,1
260,215,35,334,277,1
75,15,7,14,26,1
530,345,85,266,250,1
60,5,2,21,21,1
90,28,8,31,32,1
220,77,22,170,240,1
5900,1500,68,1200,2300,1
420,250,41,530,800,1
2800,2800,234,3500,3600,1
99,170,20,200,190,1
310,230,54,610,760,1
800,160,23,260,600,1
1500,395,28,395,323,1
20000,13000,1850,29000,57000,1
305,85,25,197,130,1
1900,530,35,383,434,1
110,62,90,140,250,1
3700,1690,128,2810,3270,1
2770,660,54,712,763,1
245,120,18,131,167,1
1170,255,18,312,325,1
4419,3564,668,2861,2025,1
810,580,111,570,490,1
5000,1200,83,1000,1100,1
10000,6730,345,7330,10400,1
1570,735,87,1330,1740,1
8800,64064,72128,95650,0.001,2
6709,10500,1400,17700,750,2
1100,1600,221,2010,26,2
290,966,299,1810,57,2
2500,10500,4790,13500,6,2
1860,4980,0.001,10700,1600,2
860,1670,30,2050,40,2
150,22,9,60,11,2
400,940,210,820,24,2
6,2990,29990,26076,67,2
100,200,110,670,11,2
290,1260,231,820,8,2
1550,2740,816,5450,184,2
3910,4290,626,6040,1230,2
12705,23498,6047,34257,5188,2
1,8,8,100,6,2
300,700,280,1700,36,2
107,143,34,222,2,2
130,140,2,120,0.001,4
55,22,358,2.6,0.001,4
78,66,283,2.6,0.001,4
16000,3600,670,14,0.001,6
6600,1000,38,2,19,6
2091,149,20,3,0.001,6
8200,3790,250,4620,277,1
75,15,7,14,250,1
530,345,85,266,21,1
60,5,2,21,32,1
5900,1500,68,1200,800,1
1,27,49,4,1,4
14,14,124,7,1,4
3420,7870,1500,6990,33,2
19.3,103,159,19,0.6,2
27,30,23,2.4,0.1,4
23,63,54,10,0.3,3
21,34,5,47,62,1
160,130,33,96,0.1,5
180,175,75,50,4,5
345,112.3,27.5,51.5,58.8,3
30.4,117,44.2,138,0.1,5
181,262,41,28,0.001,4
173,334,172,812.5,37.7,2
127,107,11,154,224,1
60,40,6.9,110,70,1
220,340,42,480,14,2
170,320,53,520,3.2,2
27,90,42,63,0.2,5
56,286,96,928,7,2
200,48,14,117,131,1
78,161,86,353,10,2
32.4,5.5,1.4,12.6,13.2,1
980,73,58,12,0.001,6
160,130,33,96,0.001,4
650,53,35,20,0.001,6
95,110,160,50,0.001,4
300,490,180,360,95,5
200,700,250,740,1,5
625,130,47,2,0.0001,4
56,61,75,32,31,6
1651,90,33,45,2,6
234.5,30.28,6.11,47.69,175.88,3
18.34,16.26,3.38,17.95,16.42,1
235.46,333.59,177.52,1201.85,148.87,1
505.57,475.35,242.3,524.45,3.29,4
36,30,10,93,7.1,2
2091,149,20,3,0.001,6
8200,3790,250,4620,277,1
75,15,7,14,250,1
530,345,85,266,21,1
60,5,2,21,32,1
5900,1500,68,1200,800,1
1,27,49,4,1,4
14,14,124,7,1,4
3420,7870,1500,6990,33,2
19.3,103,159,19,0.6,2
27,30,23,2.4,0.1,4
23,63,54,10,0.3,3
21,34,5,47,62,1
160,130,33,96,0.1,5
180,175,75,50,4,5
345,112.3,27.5,51.5,58.8,3
30.4,117,44.2,138,0.1,5
181,262,41,28,0.001,4
173,334,172,812.5,37.7,2
127,107,11,154,224,1
60,40,6.9,110,70,1
220,340,42,480,14,2
170,320,53,520,3.2,2
27,90,42,63,0.2,5
56,286,96,928,7,2
200,48,14,117,131,1
78,161,86,353,10,2
32.4,5.5,1.4,12.6,13.2,1
980,73,58,12,0.001,6
160,130,33,96,0.001,4
650,53,35,20,0.001,6
95,110,160,50,0.001,4
300,490,180,360,95,5
200,700,250,740,1,5
625,130,47,2,0.0001,4
56,61,75,32,31,6
1651,90,33,45,2,6
234.5,30.28,6.11,47.69,175.88,3
18.34,16.26,3.38,17.95,16.42,1
235.46,333.59,177.52,1201.85,148.87,1
505.57,475.35,242.3,524.45,3.29,4
36,30,10,93,7.1,2
345,112.3,27.5,51.5,58.8,3
181,262,41,28,0.001,4
172.9,334,172,812.5,37.7,2
127,107,11,154,224,1
60,40,6.9,110,70,1
220,340,42,480,14,2
170,320,53,520,3.2,2
27,90,42,73,0.2,4
565,53,34,47,0.001,3
56,286,96,28,7,2
200,48,14,117,131,1
78,161,86,353,10,2
32.4,5.5,1.4,12.6,13.2,1
41,65,22,58,0.001,5
20,48,36,186,0.001,2
179,306,73,579,0.001,2
73,177,37,52,0.001,5
39,7,12,65,0.001,2
37,96,19,57,0.001,5
46,147,27,150,0.001,2
18,63,20,51,0.001,5
28,62,16,76,0.001,2
68,78,103,136,0.001,2
54,143,23,101,0.001,5
19,47,27,62,0.001,5
86,277,63,338,0.001,2
20,19,45,77,0.001,2
25,49,42,58,0.001,5
53,150,64,379,0.001,2
114,241,80,574,0.001,2
99,288,73,386,0.001,2
1374,2648,628,5376,298,2
34,83,100,136,0.001,2
20,132,61,17,0.001,4
13,138,83,16,0.001,4
43,116,65,139,0.001,5
179,306,73,579,0.001,2
57,141,38,51,0.001,5
35,283,121,222,0.001,5
15,159,29,87,0.001,5
55,159,114,493,0.001,2
37,123,67,52,0.001,4
7,15,78,58,0.001,4
30,51,12,54,0.001,2
31,56,33,77,0.001,5
109,226,68,192,0.001,5
137,279,66,505,0.001,2
59,119,36,70,0.001,5
151,242,68,232,0.001,5
870,77,73,54,14,6
376,575,146,1092,0.001,2
17,40,11,86,0.001,2
90,313,67,566,10,4
23,6,172,23,31,4
103,74,80,9,0.001,4
124,166,87,59,0.001,4
295,1466,331,1295,32,5
80,619,326,2480,0.001,5
231,3997,1726,5584,0.001,5
507,1053,297,1440,17,5
2587,7.88,4.7,1.4,0.001,3
240,20,5,28,96,3
160,10,3,1,1,3
56,61,75,32,31,3
217,286,14,458,884,1
441,207,43,224,261,1
127,24,0.001,32,81,1
176,205.9,47.7,75.7,68.7,1
345,112.3,27.5,51.5,58.8,3
181,262,41,28,0.001,4
172.9,334,172,812.5,37.7,2
127,107,11,154,224,1
60,40,6.9,110,70,1
220,340,42,480,14,2
170,320,53,520,3.2,2
27,90,42,73,0.2,4
565,53,34,47,0.001,3
56,286,96,28,7,2
200,48,14,117,131,1
78,161,86,353,10,2
32.4,5.5,1.4,12.6,13.2,1
41,65,22,58,0.001,5
20,48,36,186,0.001,2
179,306,73,579,0.001,2
73,177,37,52,0.001,5
39,7,12,65,0.001,2
37,96,19,57,0.001,5
46,147,27,150,0.001,2
18,63,20,51,0.001,5
28,62,16,76,0.001,2
68,78,103,136,0.001,2
54,143,23,101,0.001,5
19,47,27,62,0.001,5
86,277,63,338,0.001,2
20,19,45,77,0.001,2
25,49,42,58,0.001,5
53,150,64,379,0.001,2
114,241,80,574,0.001,2
99,288,73,386,0.001,2
1374,2648,628,5376,298,2
34,83,100,136,0.001,2
20,132,61,17,0.001,4
13,138,83,16,0.001,4
43,116,65,139,0.001,5
179,306,73,579,0.001,2
57,141,38,51,0.001,5
35,283,121,222,0.001,5
15,159,29,87,0.001,5
55,159,114,493,0.001,2
37,123,67,52,0.001,4
7,15,78,58,0.001,4
30,51,12,54,0.001,2
31,56,33,77,0.001,5
109,226,68,192,0.001,5
137,279,66,505,0.001,2
59,119,36,70,0.001,5
151,242,68,232,0.001,5
870,77,73,54,14,6
376,575,146,1092,0.001,2
17,40,11,86,0.001,2
90,313,67,566,10,4
23,6,172,23,31,4
103,74,80,9,0.001,4
124,166,87,59,0.001,4
295,1466,331,1295,32,5
80,619,326,2480,0.001,5
231,3997,1726,5584,0.001,5
507,1053,297,1440,17,5
2587,7.88,4.7,1.4,0.001,3
240,20,5,28,96,3
160,10,3,1,1,3
56,61,75,32,31,3
217,286,14,458,884,1
441,207,43,224,261,1
127,24,0.001,32,81,1
176,205.9,47.7,75.7,68.7,1
 ,,,,,
