h2,ch4,c2h6,c2h4,c2h2,act
380,22,2.5,17,208,1
705,229,147,175,86,1
87,34,23,15,60,1
166,29,29,11,109,1
198,39,7.1,27,22.5,1
2348,880,89,650,1234,1
88,21.8,79.2,41.2,41.5,1
5423,423,4253,437,27,1
114,41,27,15,42,1
4249,1432,132,1869,2817,1
250,63,2.8,66,120,1
7020,1850,0,2960,4410,1
71,151,9,89,412,1
19,12,2,8,63,1
1678,652.9,80.7,1005.9,419.1,1
1607,615,80,916,1294,1
300,85,50,197,159,1
413,6.8,40.4,4.6,8.15,1
150,77,5,45,105,1
36,124,2,122,108,1
1107,361,346,339,53,1
35,25,0,23,22,1
4,88,213,14,35,1
43,19,3,0.0001,40,1
2251,2159,887,6055,1849,1
245,120,18,131,167,1
235.46,333.59,177.52,1201.85,148.87,1
307,22,2,33,109,1
161.2,38.4,4.4,35.1,125.4,1
63,22,15,11,76,1
80,28,4,15,107,1
274,27,5,33,97,1
23.4,14.3,7.12,9.71,3.44,1
160,25.2,5.3,12.3,15.7,1
31.8,25,8.2,12.9,5.7,1
120,31,0.0001,66,94,1
292,346,32,313,196,1
5000,1200,83,1000,1100,1
1114,719,188,1217,699,1
25,28,27,15,80,1
117,5.8,15.9,7,12.8,1
112,15.4,2.8,26.3,92,1
5100,1430,0.001,1140,1010,1
2800,2800,234,3500,3600,1
61,55,1034,133,8,1
59,20,120,5.5,8.9,1
121,14,3,29,74,1
127,24,0.001,32,81,1
421,135,27.7,351,374,1
2054,370,26,535,805,1
305,85,25,197,130,1
55.8,37.2,15.6,15,1.8,1
285,3114,1760,3719,79,1
260,215,35,334,277,1
620,325,38,181,244,1
800,450,112,570,488,1
437,27.2,22.5,34.9,30.2,1
64,22,20.7,51.7,95.1,1
57,148,197,72,42,1
730,750,190,1300,7,1
195.7,58,16.4,91.6,96.9,1
1106,350,346,330,53,1
73,18.5,1.4,28.7,24.7,1
466.5,148.8,13.1,266.4,511.5,1
123,51.3,15.6,16,42,1
530,345,85,266,250,1
63.5,7.45,1.85,18,6.5,1
5100,1430,0.0001,1140,1010,1
64,18,1,4,122,1
12.4,6.5,15.3,69,15,1
13,3,1,3,6,1
29,7.52,5.5,14.8,5.4,1
218,195,35,217,33,1
60,40,10,110,70,1
1900,530,35,383,434,1
667,204,140,164,93,1
1570,735,87,1330,1740,1
75,15,7,14,250,1
44.11,24.55,6.66,24.14,0.54,1
60,5,2,21,21,1
21,7.6,4.7,96.3,26.73,1
65,26.1,10.1,41.6,57.8,1
136,140,59,582,140,1
67,8.96,6.27,5.49,6.87,1
159,33,28,11,57,1
60,5,2,21,32,1
200,48,14,117,131,1
1084,188,8,166,769,1
30.4094,8.1412,0.7212,16.0032,44.725,1
17,42,192,12,20,1
1249,370,56,606,1371,1
4.23,11.75,0,2.65,9.11,1
300,240,14,160,140,1
110,62,90,140,250,1
106,24,4,28,37,1
138.8,52.2,6.77,62.8,9.55,1
35,39.5,9.63,53.276,53.89,1
37.9,7.7,2.16,18.4,33.7,1
120,31,0,66,94,1
463,2700,1025,2008,551,1
5.5,2.7,9.6,0,3.8,1
56,10,1.3,13.5,17.6,1
44.09,13.64,2.42,20.08,20.21,1
100,22,1.5,26.2,33,1
647.9,189.9,5.9,164.2,201.4,1
23,12,12,10,61,1
43,36,41,47,13,1
8200,3790,250,4620,5830,1
90.83,24.1,5.23,8.87,9.08,1
42.1,28,10,51,5.8,1
26,68,93,31,59,1
10,15,0.0001,0.0001,35,1
81,7.3,6.3,26.4,111,1
88,6,5,21,21,1
35,11,0.0001,7,146,1
155,49,69.3,42,10.7,1
44.3,17.3,3.6,23.3,10.4,1
980,570,37,480,54,1
150,130,9,55,30,1
475.3,195.8,32.6,187.3,221.2,1
176,205.9,47.7,75.7,68.7,1
154.6,50.9,3.8,46.8,152.8,1
84,6,1,14,86,1
46,11,4,46,71,1
158,71,1.3,146,685,1
335,67,18,143,170,1
4906,8784,1404,9924,9671,1
23.0233,12.0046,10.0593,12,61.8213,1
126,5,1,6,24,1
7020,1850,0.0001,2960,4410,1
7150,1440,97,1210,1760,1
2,41,133,9,21,1
200.83,59.45,0,40.48,150.84,1
14.3,92.6,83.9,16.7,26.8,1
50,42,98,10,33,1
810,580,111,570,490,1
99,170,20,200,190,1
47,9,4,16,81,1
512,87,11.5,163.59,185.21,1
1027,185,17,271,399,1
497,230,51,151,122,1
334,39.9,47.8,5.35,247.6,1
34,0.001,0.001,0.001,44,1
30,14,1,9,43,1
44.7927,17.4924,3.64,23.5592,10.5157,1
75,15,7,14,26,1
2446,945,99,654,1125,1
1500,865.2,99.7,1421.3,662.8,1
535,160,16,305,680,1
37,11.8,15.5,43.6,83.3,1
3090,5020,323,3800,2540,1
74,15,7,13,31,1
370,119,0,84,199,1
16,87,75,395,30,2
65,61,16,143,3,2
507,1053,17,1440,297,2
30,51,12,54,0.0001,2
17,17,2,57,7,2
55,159,114,493,0.0001,2
11.7,69.7,14.8,114.7,0,2
220,502,178,1017,7.8,2
6709,10500,17700,1400,750,2
81,158.1,30.2,254,4,2
2.9,109.5,32.9,123,0,2
11.68,260.47,122.2,476.83,0,2
9.61,139.08,567.06,104.8,0,2
199,770,72,1508,217,2
7,125,6,36,13,2
50,90,18,260,5.9,2
36.35,281.87,85,365.39,2.88,2
81,99,47,197,0,2
19,321,85,520,0,2
90,149,32.4,486,19.2,2
0.001,0.001,0.001,142,0.001,2
17,7,4,7,6,2
8,110.2,32.9,132.4,0,2
179,306,73,579,0.0001,2
12,270,0.001,275,0.001,2
766,993,116,665,4,2
56,285,7,28,96,2
3.4,89.3,27.8,124.2,0.3,2
90,160,54,330,29,2
747,2065,1029,4589,6.4,2
56.4,42.7,1413,167,17.1,2
220,340,14,480,42,2
150,22,11,60,9,2
39,7,12,65,0.001,2
78,161,86,353,10,2
39.4,40.6,17.2,51.4,4.3,2
14.9,88.3,15.1,127.3,0,2
2.8,103.6,35.1,130.3,0,2
2.7,110.9,37.3,136.3,0,2
2.7,91.5,27.6,123.7,0.3,2
6,2990,67,26076,29990,2
89,281,145,1216,22,2
27.1,92.2,20.1,220.3,0.9,2
15.91,191.46,734.87,132.1,0,2
26,298,9,69,0,2
10,107,1,19,190,2
37,71,2,166,12,2
90,160,330,54,29,2
0.001,0.001,9,57,0.001,2
440,40,16,16,20,2
164,244,8,497,103,2
7.7,80.1,22.2,114.8,0.4,2
0,300,6000,16900,50,2
1.3802,6.1511,9.2081,76.6277,6.6329,2
20,31,1,44,4,2
39,525,538,2925,16,2
11.6,68,16.5,119,0.8,2
8,1,0.0001,60,0.0001,2
3303,5652,7057,7633,0,2
350,1001,298,1001,7.9,2
191,1359,166,1494,2,2
26.5,298,0,69.3,8.6,2
8,260.9,59.8,354.8,0.6,2
45,63,1,129,20,2
6,2990,29990,26076,67,2
19.3,103,159,19,0.6,2
12,338,95,550,0,2
0.0001,3.4,0.0001,54,0.0001,2
1852,1004,2447,2557,969,2
3.3,86.7,23.3,106.1,0,2
18,135,208,59,0,2
181,316,2,593,115,2
457,79,54,190,2.4,2
113,140,28,405,111,2
220,340,42,480,14,2
7.8,87.3,20.2,110.7,0.5,2
130,270,67,500,3,2
228,380,82,1012,19,2
28,62,16,76,0.001,2
51,71,15,87,0,2
191,1359,2,1494,166,2
20.07,31.02,3.83,43.8,1.28,2
91,704,212,864,0,2
90,160,29,330,54,2
30.32,304.5,65.82,418.06,0.95,2
3.6,107.3,30.2,131.8,0,2
4.4,100.5,33.5,132.3,0,2
15.9,81.3,14.8,114.2,0,2
0.0001,0.0001,0.0001,142,0.0001,2
2.1,124.4,39.4,134.3,0,2
46,147,27,150,0.0001,2
3.5,84.3,27.7,122,0.4,2
65,34,16,112,0.0001,2
5.3,86.4,21.3,108.6,0,2
131,253,97,357,2.4,2
179,306,73,579,0.001,2
279,487,708,109,4.4,2
30,51,12,54,0.001,2
20.2,69.7,18,122.5,0.7,2
0.001,106,170,871,6,2
11,111,4,29,9,2
173,334,38,812,173,2
8,73.4,19.7,106.6,0.4,2
172.9,334,172,812.5,37.7,2
16.746,16.5319,6.8744,57.3739,2.4738,2
2.5,113.3,33.1,115.1,0,2
2.1,102.9,41.7,143.7,0,2
7.8,111,129,701,2.8,2
438,2225,725,4649,24,2
65,61,3,143,16,2
14.02,386.93,97.11,562.8,0,2
20,19,45,77,0.001,2
37.07,203.9,73.77,288.86,0,2
54.3,379.3,183.2,563.3,1.4,2
63,149.6,57.5,276,0.0001,2
69,212,692,135,3.9,2
58,103,251,51,6,2
0,260,160,800,0,2
10,115,5,31,10,2
73,520,140,1200,6,2
67,685,219,824,0,2
86,110,7,92,18,2
15,383,105,571,0,2
0.001,100,309,1365,7,2
78,161,10,353,86,2
2.9,85.3,20.2,90.3,0,2
246,1060,216,1280,24,2
19.2,77.1,12.6,96.6,0,2
25.67,145.84,22.31,206.03,1.49,2
7,81,5,351,47,2
107,143,2,222,34,2
229,1110,170,713,0.6,2
86,480,155,644,9,2
10,4,1,87,0.001,2
236,410.2,817.3,159,3.5,2
55.4,362.4,163.4,518.9,1.9,2
172.9,334.1,172.9,812.5,37.7,2
33,79,5,215,30,2
35,29,7,78,0.0001,2
60,144,9,449,67,2
11,13,2,127,0.001,2
36.2,12.6,4.4,15.5,0,2
1,16,1,70,12,2
240,676,200,818,4,2
55.3,399.4,203.7,610.8,1.7,2
52.1622,304.1915,159.3401,479.9918,2.4418,2
31.25,291.11,87.26,364.74,2.52,2
88,660,183,866,0,2
31.7,40.3,8.7,107,4.5,2
15,97,3,23,6,2
9.5,78.1,18,102.3,0,2
135,466,9,502,70,2
173,334,38,813,172,2
280,27,30,52,58,2
35.35,151.63,32.92,199.76,0.63,2
56,144,2,164,36,2
28,145.7,113.1,436.2,0,2
21,42,4,92,0.0001,2
87,500,26,520,9,2
117,325,105,372,0,2
30,25.5,31.5,93,1.8,2
135,466,70,502,9,2
30.61,68.06,23.73,168.39,0.5,2
5.3,108.1,34.2,133.4,0,2
117,257,92,468,4,2
20,48,36,186,0.0001,2
1.5,81.6,24.4,100.5,0,2
23,698.5,1112.2,6689,42.4,2
53,189,25,295,5,2
20,26,6,55,0.0001,2
16.99,185.09,699.2,125.14,0,2
28,62,16,76,0.0001,2
38.78,299.9,71.78,369.5,1.44,2
10,4,3,33,6,2
18,250.4,172.8,707.9,0,2
56,286,96,928,7,2
23,83.7,15.4,115.7,0,2
15.3,344.97,128.91,564.08,0,2
73,520,6,120,140,2
131,253,2,357,97,2
19,18,1,55,7,2
25.1,411.91,320.9,1832.8,18.4,2
56.6,366.5,161.5,519.3,1.4,2
74,70,29,147,0,2
53.3,352.2,173.5,525,1.5,2
13.87,339.34,128.22,554.52,0,2
39,7,12,65,0.0001,2
69,212,4,692,135,2
11.8,71.3,13,118.1,0.3,2
3.9,112.2,37.5,140.3,0,2
74,187,2,388,26,2
45.91,403.6,106.19,640.01,0,2
27,51,0.0001,153,0.0001,2
11,22,2,53,11,2
55,159,114,493,0.001,2
0.001,3.4,0.001,54,0.001,2
28,1214,415,1275,0,2
7.4,89.3,23.4,124.3,0.4,2
95.42,108.13,29.2,193.42,0,2
6.3,119.1,37.9,148.6,0,2
36,30,10,93,7.1,2
16,237,0,470,92,2
80,619,0,2480,326,2
43.6,104.2,36.9,177.6,0,2
108,205,52,234,0,2
22,443,110,745,0,2
58,103,6,251,51,2
69,212,135,692,3.9,2
17,21,11,145,4.1,2
6.17,116.06,488.86,92.57,0,2
199,770,217,1508,72,2
42,97,600,157,0,2
766,990,115,660,0,2
16.2,95.9,43.3,172.5,0.5,2
69,670,229,811,0,2
1,8,8,100,6,2
37.25,155.4,44.75,224.9,1.11,2
7,31,23,148,0.001,2
80,243,1348,274,8.4,2
10,52,40,280,2.2,2
23,592,0,275,75,2
0.0001,106,170,871,6,2
4.4,105.1,34.3,125.1,0,2
8,88,45,252,0.0001,2
10,298,107,560,0,2
8,316,21,21,5,2
170,330,77,430,13,2
2.5,92.7,24.5,105.2,0,2
318,57,42,219,0,2
15.9445,30.0131,4.9709,48.7713,0.3001,2
290,966,299,1810,57,2
290,1260,8,820,231,2
95,672,199,806,0,2
22.4,22.4,2.69,13.44,1.57,2
231,3997,1726,5584,0.0001,2
117,167,7,481,48,2
29.6,281.1,71.9,400.1,2.2,2
181,316,593,115,2,2
80,619,326,2480,0.0001,2
18.32,315.17,58.34,387.33,0,2
13,105,4,27,8,2
137,369,144,1242,16,2
86,277,63,338,0.001,2
63.3,58.1,8.7,60.1,0,2
51,1149,418,1265,0,2
181,316,115,593,2,2
18.95,46.97,6.94,61.54,0,2
24,20,4,87,0.0001,2
12,270,0.0001,275,0.0001,2
50.9,368.5,188.3,570.4,1.4,2
210,540,250,900,2.2,2
8,88,45,252,0.001,2
16,87,30,395,75,2
274,376,55,1002,17,2
20,26,6,55,0.001,2
6709,10500,1400,17700,750,2
17.04,192.37,733.63,132.09,0,2
38,872,340,1004,0,2
52.0545,302.5754,156.7333,472.8305,2.4058,2
6.7,10,11,71,3.9,2
130,440,180,730,0,2
143,305,2,721,78,2
62.5,355.1,164.1,510.3,1.8,2
137,279,66,505,0.0001,2
246,432,674,141,7.2,2
26.1,162,53.3,209,1.12,2
25,412,18,1833,321,2
6.8,82.2,21.6,111.9,0,2
15.8933,21.8097,3.1903,58.1206,0.9861,2
1.5,120.5,41.7,148,0,2
274,376,17,1002,55,2
3.7,94.9,22.3,107.4,0.2,2
4,2,1,63,0.001,2
207,416,1345,347,20,2
42,98,156,610,0,2
33,79,30,215,5,2
164,244,103,497,8.3,2
114,241,80,574,0.001,2
2.5,73.8,24,85.2,0,2
23,14151,0,23264,5332,2
2.4,92.1,26.6,109.1,0,2
2.7,83.6,26.8,121.6,0,2
135.88,362.42,125.22,826.65,3.74,2
45,168,82,330,3.1,2
19.9,61.5,27.1,114.7,0,2
114,241,80,574,0.0001,2
24.06,255.07,59.11,341.94,0.72,2
44.6,63.2,20.1,129,0.66,2
170,300,44,580,8.9,2
341,5,31,51,64,2
38.07,295.58,86.41,403.64,2.67,2
70.7,403.3,218.9,664.5,1.7,2
56,285,96,28,7,2
99,288,73,386,0.001,2
55,102,2,246,18,2
110,350,118,433,0,2
56,100,51,153,2.3,2
376,575,146,1092,0.001,2
36.14,285.52,88.27,455.84,1.8,2
30.2,144.8,57.3,196.2,1.26,2
45.33,352.5,96.58,568.7,1.803,2
5,270,91,485,0,2
766,993,4,665,116,2
6.5,83.4,20.6,106.5,0,2
7,72.6,17.3,98.3,0.5,2
170,300,580,44,8.9,2
39.8,125,112,380,0,2
58.13,233.7,80.1,291.63,0,2
206,198.9,74,612.7,15.1,2
67,386,122,405,0,2
0.0001,100,309,1365,7,2
19.8,92,16.6,132.7,0.3,2
29.33,313,117.7,522.26,1.45,2
6.9,80.6,47.4,351,4.9,2
9.25,96.88,446.52,84.25,0,2
32,60.6,34.5,151.3,0,2
240,28,6,26,85,2
56,144,36,164,1.8,2
51,589,190,685,0,2
35,30,10,93,7.1,2
12,32,1,8,81,2
46,147,27,150,0.001,2
0.0001,153,130,677,13,2
35,29,7,78,0.001,2
36,30,93,10,7.1,2
10.5,68.4,16.5,122.8,0.9,2
35.1,50.6,16.1,93,1.1,2
172.9,334,172.9,812.5,37.7,2
221,440,94.6,610.5,3.7,2
3.1,107.8,32.7,124.8,0,2
5.7,127.5,42.3,164.7,0,2
14,322,85,474,0,2
5.5,70.6,18.4,99,0.5,2
15.8,82.7,14.5,127.7,0.3,2
2.6,84.1,26.9,107.3,0,2
70.4,69.5,28.9,241.2,0.4,2
32,40,32,40,32,2
86,110,18,92,7.4,2
79,131,60,225,0,2
32,106,9,39,15,2
79.8,340.5,170.5,528.2,2.3,2
143,305,721,78,2,2
170,320,3,520,53,2
244,754,172,1281,27,2
82,161,406,79,8.9,2
86,170.7,67.6,326.6,0.93,2
300,700,280,1700,36,2
1.4,126.5,35.5,127.7,0,2
18.89,258.64,99.89,421.6,0.97,2
54.9,307.4,146.2,447,2.1,2
82.31,91.2,29.87,199.02,3.45,2
207,416,347,1345,20,2
100,200,110,670,11,2
206,51,23,48,45,2
163,326,107,414,0,2
27.16,306.57,64.28,434.12,1.43,2
137,369,16,1242,144,2
200,1000,400,3000,30,2
7,32,11,5,141,2
24,20,4,87,0.001,2
113,140,111,405,28.4,2
62,112,36,148,0,2
35.1,148.1,32.69,210.96,0.72,2
21,79,13,419,0,2
6,83.9,22.5,120.2,0,2
16.5,89.2,14.6,118.1,0,2
119,78,16,43,30,2
480,1075,298,1132,0.0001,2
9,47,144,628,0.0001,2
38.66,143.45,40.78,195.29,0.72,2
130,270,3,500,67,2
14.7,610,151,917,0,2
72,733,229,877,0,2
68,78,103,136,0.001,2
38.21,142,44.51,211.11,0,2
37.71,332.68,122.73,538.75,1.45,2
428,1660,533,4094,11.4,2
53,150,64,379,0.0001,2
1374,2648,628,5376,298,2
44.6,223.3,93,349,0,2
59.8,353.9,178.5,555,1.7,2
1.1,104.9,38,133.8,0,2
6709,10500,750,17700,1400,2
105,169.4,59.1,347.6,1.8,2
55.5,340.7,160.7,501.5,2.2,2
5.2,71.3,18.8,103.2,0.4,2
15,365,97,585,0,2
416,695,0,867,74,2
2.1,121.4,40.7,143.8,0,2
1860,4980,0.001,10700,1600,2
3.9,131.4,41.9,164.3,0,2
3.3,87.6,22.2,101.8,0,2
8800,64064,0,95650,72128,2
3.7,88.2,23.6,113.3,0.4,2
18.6139,17.9724,6.6865,55.3628,1.3644,2
80,318.7,152,469.1,2,2
68,99.2,35.9,202.9,0.0001,2
4.6875,10.8259,17.5223,66.9643,0,2
81,130,230,74,2.9,2
50.6,157.63,28.94,175.62,0,2
330,2000,1600,5100,30,2
13,356,109,591,0,2
3675,6392,2500,7691,5,2
557,3541,521,2928,7,2
27,51,0.001,153,0.001,2
56,286,96,28,7,2
22400,22400,2690,13440,1570,2
56.4,42.7,167,1413,17.1,2
12705,23498,5188,34257,6047,2
17,40,11,86,0.0001,2
50,90,260,18,5.9,2
16,24,1,49,10,2
860,1670,30,2050,40,2
27.22,451.67,109.41,637.37,0,2
18,35,2,110,0.001,2
300,700,36,1700,280,2
8800,64064,72128,95650,0.001,2
43,923,338,1062,0,2
58,103,51,251,6,2
41.09,257.29,68.75,318.59,4.17,2
2.5,70.3,12.4,89.8,0,2
77,406,59,819,0,2
11.4,69.9,26.2,114.4,0.7,2
0.001,153,130,677,13,2
16,237,470,92,0,2
74.8,482,1409,297,7.5,2
39.6,171.72,45.81,233.98,0.83,2
60,144,67,449,9,2
170,330,430,77,13,2
507,1053,297,1440,17,2
3.7648,26.8179,7.2202,61.8876,0.3094,2
10.48,148.49,576.66,105.45,0,2
21,20,2,61,8,2
180,340,52,6303,10,2
17,50.6,10.1,3.6,0,2
8.5,79.3,20.3,108.6,0.5,2
618,925,289,1588,7.4,2
15,87,2,33,458,2
94,195,14,153,15,2
56,286,7,928,96,2
55.8,341.1,161.6,502.6,2,2
18,113,76,294,0,2
31.18,150.41,49.55,207.82,1.43,2
14.7,63,14.7,105,0.4,2
2500,10500,4790,13500,6,2
378,12,5,6,15,2
34.48,269.3,74.96,387.32,1.44,2
27.4,63.2,32.7,137.8,0.52,2
8.4,28.7,13,105,2.1,2
5,120.6,45.9,155.1,0,2
38,276,5,1567,1,2
107,143,34,222,2,2
21,42,4,92,0.001,2
1860,4980,1600,10700,0,2
88,86,32,163,0,2
9.57,59.38,22.19,77.58,0,2
165.62,240.95,61.32,514.53,13.53,2
20.6,19.89,7.4,61.27,1.51,2
376,575,146,1092,0.0001,2
143,305,78,721,2,2
18,35,2,110,0.0001,2
1550,2740,816,5450,184,2
90,149,19,486,32,2
121,450,146,898,116,2
135.65,278.53,58.86,492,2.95,2
720,7,0.0001,15,101,3
6305,14,10,20,44,3
6870,1028,79,900,5500,3
595,32,4,18,65,3
68,8,3,8,11,3
60,10,4,4,4,3
59,10.4,4,10,12.7,3
55,48,6,71,13,3
118,3,1,3.4,4.3,3
57,24,2,27,30,3
111,2.8,47,0.001,27.5,3
7600,1230,318,836,1560,3
1000,500,1,400,500,3
254,5.2,0.0001,9.3,88,3
2587,7.88,4.7,1.4,0.001,3
30.1,17.1,2.2,5.5,30.1,3
60,71,90,40,10,3
205,20,8,0.001,6,3
385,28.8,50,82.3,171,3
30.1,17.1,2.2,5.5,5.2,3
29,26.3,1.8,27,82.4,3
62,3,1,4,26,3
6,0.5,0.29,1.87,7.42,3
67.8,8.89,1.88,12.67,36.2,3
46,22,15,31,52,3
60,10,0.0001,11,39,3
858,1324,208,2793,7672,3
290,110,6.8,47,90,3
97.81,15.87,2.71,8.1,24.36,3
119,8,20,0.001,21,3
420,200,14,230,180,3
843,133,12,168,385,3
49567,532,0,97,285,3
9,3.9,0.8,4,13,3
75,33,12,15,16,3
14.9,11.8,4.2,1.4,1.6,3
18.648,18.005,6.6987,55.463,1.1858,3
137,6,11.4,6.4,16.5,3
4,1,2,7,52,3
137,33,8,29,111,3
289,13.4,18.2,49.8,36.3,3
121,21,11,32,45,3
169,38,48.5,6.5,5.8,3
39.4,6.7,1.5,10.5,4.8,3
65.2,20,3.9,8.13,25.1,3
138.8,52.2,6.77,62.8,9.55,3
27,16,23,127,98,3
95,10,0,11,39,3
150,27,3.6,63,90,3
716,7.1,33,20,6.8,3
595,80,9,89,244,3
54,7,7.4,8.6,5.4,3
1249,370,56,606,1371,3
720,7,0.001,15,101,3
283,18,6,14,36,3
102,6,6,7,10,3
1790,580,321,336,619,3
44.9775,11.0945,12.7436,2.6987,28.4858,3
212,38,15,47,78,3
565,53,34,47,0.001,3
315,60,14,93,218,3
15,15,4,17,22,3
2177,1049,207,440,705,3
13,4,3,2,52,3
345,112.25,27.5,51.5,58.75,3
124,14,4,0.0001,13,3
89.9942,5.3479,1.9551,2.7027,0,3
645,86,13,110,317,3
31,6.6,4.7,19,67,3
101.72,27.65,7.13,16.92,53.87,3
254,5.2,0.001,9.3,88,3
20,1,4,11,44,3
56,61,75,32,31,3
9,8.4,3.7,30,5,3
57.98,18.87,4.62,8.66,9.87,3
109,49,89,61,345,3
95,10,0.0001,11,39,3
84.333,8.0593,7.2211,0.3869,0,3
34.6084,18.2149,14.3898,17.3042,15.4827,3
37,6.8,5.7,0.6,0.3,3
126,251,106,180,26,3
143,5.8,16,10.6,26.3,3
205,20,8,0.0001,6,3
43,13,20,101,97,3
4127,267,18,355,2060,3
441,207,43,224,261,3
550,53,34,20,0,3
80,66,18,177,510,3
274,23,34,36,66,3
349.2,42.4,4.8,62.4,177.5,3
8,0.0001,0.0001,43,101,3
55,32,11,12,42,3
240,20,5,28,96,3
16,7,9,23,78,3
418,56,21,14,96,3
35.2,2.6,1.9,5.3,18.3,3
5.26,0.0001,0.0001,28.2,66.4,3
51.1,7.1,1.7,5.9,9.2,3
174,27,6,12,29,3
186,38.3,13,37,85.9,3
1900,285,31,957,7730,3
153,18,9,0.0001,11,3
33,15.2,2.5,4,14,3
83.714,8.067,5.175,3.0441,0,3
8,0,0,43,101,3
345,112.3,27.5,51.5,58.8,3
549,121.3,25.5,31.9,198.5,3
126,5,1,6,24,3
132.92,32.82,7.64,19.4,40.36,3
650,53,34,20,0,3
44.482,50.357,4.616,0,0.5455,3
78,161,86,353,10,3
24.2,3.2,3.7,16.6,101,3
200,50,40,50,6,3
78,44,59,42,29,3
24.32,16.36,1.67,30.18,27.47,3
66,8.27,8.21,9.21,8.21,3
380,9.7,3.1,2.4,0.5,3
10092,5399,530,6500,37565,3
1565,98,35,48,0,3
10,4,2,9,36,3
45.2,3.6,2.9,8.3,18.3,3
16,5,4,17,56,3
115.9,75,14.7,25.3,6.8,3
305,100,33,161,541,3
160,10,3,1,1,3
119,8,23.3,7.9,12.3,3
476,28,27,36,148,3
34.4,21.9,3.2,45,19.6,3
30,62,60,460,3.4,3
163,26,7,19,133,3
56,334.1,75,32,31,3
80,233,134,218,43,3
142,17,4,7,38,3
980,73,58,12,0,3
316,36.1,37.3,109,440,3
6454,2313,121,2159,6432,3
170,24,7,17,54,3
256,8,37.4,15,21.1,3
208,7.6,27.5,9.7,14.4,3
266,30.2,4.9,26.2,60.2,3
650,81,170,51,270,3
31.8,25,8.2,12.9,5.7,3
4670,3500,2120,5040,2560,3
3559,187,22,230,1140,3
4906,8784,1404,9924,9671,3
307,22,2,33,109,3
119,8,20,0.0001,21,3
1330,10,20,66,182,3
508.7,135.3,22.4,308.2,304,3
63.6,44.3,10.2,30.3,10.7,3
73,17,104,21,25,3
12,6,5,5,45,3
135,27,24,9,13,3
274,27,5,33,97,3
179,29,10,17,33,3
170,271,141,231,39,3
