k_neighbors: 1, Depth: 1, Accuracy: 53.66%
k_neighbors: 4, Depth: 4, Accuracy: 73.17%
k_neighbors: 4, Depth: 5, Accuracy: 78.05%
k_neighbors: 4, Depth: 6, Accuracy: 79.79%
k_neighbors: 4, Depth: 7, Accuracy: 81.18%
k_neighbors: 4, Depth: 8, Accuracy: 82.23%
k_neighbors: 4, Depth: 9, Accuracy: 82.93%
k_neighbors: 4, Depth: 10, Accuracy: 83.62%
k_neighbors: 4, Depth: 11, Accuracy: 82.23%
k_neighbors: 4, Depth: 12, Accuracy: 82.58%
k_neighbors: 4, Depth: 13, Accuracy: 82.23%
k_neighbors: 4, Depth: 14, Accuracy: 82.58%
k_neighbors: 4, Depth: 15, Accuracy: 82.23%
k_neighbors: 4, Depth: 16, Accuracy: 81.53%
k_neighbors: 4, Depth: 17, Accuracy: 83.28%
k_neighbors: 4, Depth: 18, Accuracy: 82.93%
k_neighbors: 4, Depth: 19, Accuracy: 81.88%
k_neighbors: 4, Depth: 20, Accuracy: 81.88%
k_neighbors: 5, Depth: 1, Accuracy: 50.52%
k_neighbors: 5, Depth: 2, Accuracy: 69.69%
k_neighbors: 5, Depth: 3, Accuracy: 69.69%
k_neighbors: 5, Depth: 4, Accuracy: 71.78%
k_neighbors: 5, Depth: 5, Accuracy: 76.31%
k_neighbors: 5, Depth: 6, Accuracy: 78.40%
k_neighbors: 5, Depth: 7, Accuracy: 81.53%
k_neighbors: 5, Depth: 8, Accuracy: 80.84%
k_neighbors: 5, Depth: 9, Accuracy: 83.28%
k_neighbors: 5, Depth: 10, Accuracy: 83.28%
k_neighbors: 5, Depth: 11, Accuracy: 81.53%
k_neighbors: 5, Depth: 12, Accuracy: 83.97%
k_neighbors: 5, Depth: 13, Accuracy: 83.62%
k_neighbors: 5, Depth: 14, Accuracy: 83.62%
k_neighbors: 5, Depth: 15, Accuracy: 82.58%
k_neighbors: 5, Depth: 16, Accuracy: 83.28%
k_neighbors: 5, Depth: 17, Accuracy: 82.93%
k_neighbors: 5, Depth: 18, Accuracy: 82.23%
k_neighbors: 5, Depth: 19, Accuracy: 82.58%
k_neighbors: 5, Depth: 20, Accuracy: 82.58%
k_neighbors: 6, Depth: 1, Accuracy: 52.61%
k_neighbors: 6, Depth: 2, Accuracy: 68.99%
k_neighbors: 6, Depth: 3, Accuracy: 72.82%
k_neighbors: 6, Depth: 4, Accuracy: 74.91%
k_neighbors: 6, Depth: 5, Accuracy: 78.75%
k_neighbors: 6, Depth: 6, Accuracy: 81.18%
k_neighbors: 6, Depth: 7, Accuracy: 81.53%
k_neighbors: 6, Depth: 8, Accuracy: 83.62%
k_neighbors: 6, Depth: 9, Accuracy: 83.97%
k_neighbors: 6, Depth: 10, Accuracy: 82.23%
k_neighbors: 6, Depth: 11, Accuracy: 82.58%
k_neighbors: 6, Depth: 12, Accuracy: 82.93%
k_neighbors: 6, Depth: 13, Accuracy: 82.58%
k_neighbors: 6, Depth: 14, Accuracy: 81.18%
k_neighbors: 6, Depth: 15, Accuracy: 81.88%
k_neighbors: 6, Depth: 16, Accuracy: 82.23%
k_neighbors: 6, Depth: 17, Accuracy: 82.93%
k_neighbors: 6, Depth: 18, Accuracy: 81.88%
k_neighbors: 6, Depth: 19, Accuracy: 82.58%
k_neighbors: 6, Depth: 20, Accuracy: 82.58%
k_neighbors: 7, Depth: 1, Accuracy: 52.61%
k_neighbors: 7, Depth: 2, Accuracy: 69.69%
k_neighbors: 7, Depth: 3, Accuracy: 72.47%
k_neighbors: 7, Depth: 4, Accuracy: 73.17%
k_neighbors: 7, Depth: 5, Accuracy: 78.40%
k_neighbors: 7, Depth: 6, Accuracy: 82.23%
k_neighbors: 7, Depth: 7, Accuracy: 81.88%
k_neighbors: 7, Depth: 8, Accuracy: 81.53%
k_neighbors: 7, Depth: 9, Accuracy: 82.58%
k_neighbors: 7, Depth: 10, Accuracy: 83.28%
k_neighbors: 7, Depth: 11, Accuracy: 82.58%
k_neighbors: 7, Depth: 12, Accuracy: 82.58%
k_neighbors: 7, Depth: 13, Accuracy: 84.32%
k_neighbors: 7, Depth: 14, Accuracy: 82.93%
k_neighbors: 7, Depth: 15, Accuracy: 82.23%
k_neighbors: 7, Depth: 16, Accuracy: 82.93%
k_neighbors: 7, Depth: 17, Accuracy: 83.28%
k_neighbors: 7, Depth: 18, Accuracy: 83.28%
k_neighbors: 7, Depth: 19, Accuracy: 82.58%
k_neighbors: 7, Depth: 20, Accuracy: 82.58%
k_neighbors: 8, Depth: 1, Accuracy: 52.96%
k_neighbors: 8, Depth: 2, Accuracy: 68.64%
k_neighbors: 8, Depth: 3, Accuracy: 71.43%
k_neighbors: 8, Depth: 4, Accuracy: 71.43%
k_neighbors: 8, Depth: 5, Accuracy: 77.00%
k_neighbors: 8, Depth: 6, Accuracy: 80.14%
k_neighbors: 8, Depth: 7, Accuracy: 80.14%
k_neighbors: 8, Depth: 8, Accuracy: 80.14%
k_neighbors: 8, Depth: 9, Accuracy: 81.18%
k_neighbors: 8, Depth: 10, Accuracy: 81.88%
k_neighbors: 8, Depth: 11, Accuracy: 83.28%
k_neighbors: 8, Depth: 12, Accuracy: 82.23%
k_neighbors: 8, Depth: 13, Accuracy: 82.93%
k_neighbors: 8, Depth: 14, Accuracy: 82.58%
k_neighbors: 8, Depth: 15, Accuracy: 81.88%
k_neighbors: 8, Depth: 16, Accuracy: 82.23%
k_neighbors: 8, Depth: 17, Accuracy: 83.28%
k_neighbors: 8, Depth: 18, Accuracy: 82.23%
k_neighbors: 8, Depth: 19, Accuracy: 82.23%
k_neighbors: 8, Depth: 20, Accuracy: 81.88%
k_neighbors: 9, Depth: 1, Accuracy: 56.79%
k_neighbors: 9, Depth: 2, Accuracy: 68.99%
k_neighbors: 9, Depth: 3, Accuracy: 71.78%
k_neighbors: 9, Depth: 4, Accuracy: 74.56%
k_neighbors: 9, Depth: 5, Accuracy: 76.66%
k_neighbors: 9, Depth: 6, Accuracy: 78.05%
k_neighbors: 9, Depth: 7, Accuracy: 80.49%
k_neighbors: 9, Depth: 8, Accuracy: 79.79%
k_neighbors: 9, Depth: 9, Accuracy: 82.23%
k_neighbors: 9, Depth: 10, Accuracy: 82.58%
k_neighbors: 9, Depth: 11, Accuracy: 82.23%
k_neighbors: 9, Depth: 12, Accuracy: 80.49%
k_neighbors: 9, Depth: 13, Accuracy: 80.14%
k_neighbors: 9, Depth: 14, Accuracy: 82.58%
k_neighbors: 9, Depth: 15, Accuracy: 82.58%
k_neighbors: 9, Depth: 16, Accuracy: 82.93%
k_neighbors: 9, Depth: 17, Accuracy: 82.23%
k_neighbors: 9, Depth: 18, Accuracy: 82.58%
k_neighbors: 9, Depth: 19, Accuracy: 82.93%
k_neighbors: 9, Depth: 20, Accuracy: 82.93%
k_neighbors: 10, Depth: 1, Accuracy: 50.87%
k_neighbors: 10, Depth: 2, Accuracy: 69.69%
k_neighbors: 10, Depth: 3, Accuracy: 71.08%
k_neighbors: 10, Depth: 4, Accuracy: 73.52%
k_neighbors: 10, Depth: 5, Accuracy: 78.05%
k_neighbors: 10, Depth: 6, Accuracy: 78.40%
k_neighbors: 10, Depth: 7, Accuracy: 80.84%
k_neighbors: 10, Depth: 8, Accuracy: 81.88%
k_neighbors: 10, Depth: 9, Accuracy: 82.23%
k_neighbors: 10, Depth: 10, Accuracy: 80.49%
k_neighbors: 10, Depth: 11, Accuracy: 82.93%
k_neighbors: 10, Depth: 12, Accuracy: 83.62%
k_neighbors: 10, Depth: 13, Accuracy: 82.93%
k_neighbors: 10, Depth: 14, Accuracy: 82.58%
k_neighbors: 10, Depth: 15, Accuracy: 82.23%
k_neighbors: 10, Depth: 16, Accuracy: 83.62%
k_neighbors: 10, Depth: 17, Accuracy: 82.58%
k_neighbors: 10, Depth: 18, Accuracy: 82.58%
k_neighbors: 10, Depth: 19, Accuracy: 82.23%
k_neighbors: 10, Depth: 20, Accuracy: 81.88%
